Perment_mode0,Perment_mode1,Perment_mode2,Perment_mode3,Perment_mode4,BIS
1.4199526022772733,1.8027203974313277,2.2479617607394164,2.5654342133185835,2.5721069632046287,93.9
1.4180001925445267,1.8046445876540107,2.2480001689103877,2.5650101745008076,2.5720908172376333,93.9
1.417981307548971,1.8051596045521623,2.2474666398160865,2.5651040545427026,2.572165428458545,93.9
1.4179836571740179,1.806164304816317,2.2483486263581174,2.565098283107595,2.572294710339899,93.9
1.417976557961277,1.8085114772136301,2.248058490994497,2.5650125284545453,2.57243814005181,93.9
1.4251786163220213,1.812697769429367,2.247810826641768,2.5648137302567338,2.5723627658656993,93.9
1.4271939577114812,1.8141299302005174,2.2484231901395715,2.564785054500428,2.5729713706648023,93.9
1.4247444530168267,1.8126789777462906,2.24707081909394,2.565080637931377,2.5728884879137075,93.9
1.4262182217006676,1.8168514049956086,2.248771941091274,2.564935182609418,2.5725996745687723,93.7
1.4372982529693084,1.8163995796614911,2.249554537478536,2.5655030557189087,2.572525582415116,93.0
1.439100556133126,1.8136394084979024,2.249292477394328,2.565397060621368,2.5724955392887603,92.8
1.4341944172267724,1.8127443673358052,2.249020042736433,2.565470316336353,2.572612184394206,92.8
1.4341225302789224,1.8127453634720405,2.25012060214136,2.56519530842058,2.5726025131753296,92.8
1.4375104924794813,1.8066585931856425,2.250032295712078,2.565243604975069,2.572559213214367,92.8
1.4279067115491173,1.8015498930104363,2.249626830418144,2.5653527746172626,2.5723880027158077,92.8
1.4256313893449568,1.8010556486288303,2.2496908426515336,2.565655335362999,2.572109029102301,93.2
1.418994632510221,1.7972883482345723,2.2516431794853773,2.5655202074842043,2.571934579463381,93.0
1.419734214417715,1.7963667757786124,2.251664730807944,2.5654395088175175,2.5719218563439887,93.2
1.414458918446052,1.7949561734556347,2.252236448534661,2.565562018124756,2.57175175924508,93.4
1.423212709879749,1.7945049166585951,2.2522053049211297,2.5652251848472165,2.571781470925279,93.4
1.4259813664777372,1.7940004994527698,2.251112934743346,2.5654464811020103,2.5718249640290836,93.4
1.4272355806194406,1.7949577792405753,2.25052331460246,2.565236078821804,2.572275769543807,93.4
1.428586323970039,1.7935236661715632,2.249949814889621,2.565354528771726,2.572643870753008,94.1
1.4211765561628034,1.7939980930161727,2.250316826374079,2.5654757458739144,2.5727520149477754,94.4
1.416837960606942,1.7930607192467378,2.2494537917476283,2.5654359583706365,2.5728207491237467,94.4
1.4273276307716285,1.7977738098311864,2.2483261882691945,2.565285466237806,2.572997919548227,94.4
1.4249725245327005,1.7944698697928017,2.248340088484251,2.565276103211178,2.5732258639440055,94.4
1.4254815526905782,1.7958915294070183,2.2500058946704256,2.5651653206365888,2.5732758164442604,94.4
1.4253345846615062,1.7973046309719893,2.2505322500922658,2.56504774944573,2.5733472604011123,94.4
1.420967908209573,1.7963474603632388,2.2491307186709433,2.5648926071762634,2.573781177757767,94.4
1.4161813172421502,1.79541964742487,2.2494108154367534,2.5649871422230754,2.57372179927299,94.4
1.4130968549243024,1.7959011498955224,2.2488577095808626,2.565109089114556,2.5737140056362855,94.4
1.4139359266133757,1.7977448224061923,2.2488578428244597,2.565382494781735,2.573659221139908,94.4
1.408547323441536,1.796331430605837,2.2488409706888834,2.565255519818613,2.573495961330254,94.4
1.4132559771284927,1.7953311298905184,2.2502314678462847,2.565113355007756,2.5734112052901255,94.4
1.414566403393069,1.793911449172941,2.250270972917256,2.565021294331618,2.573134523879876,94.4
1.415370657447224,1.796811524297636,2.250813089134531,2.565393098254731,2.573224643588868,94.4
1.4193933706967625,1.7968222156430491,2.2510726145099835,2.565381149048659,2.573000534507836,94.4
1.4192846802398416,1.794454609777346,2.2502421592379798,2.565291753208114,2.573119765222343,94.4
1.4137232502254367,1.7929987703568675,2.250474150818815,2.5654185219664227,2.57310837089181,94.4
1.4220216407531683,1.7921001415716749,2.251089985260898,2.565410557548134,2.5733140845597218,94.4
1.4212813289621573,1.7911278020438917,2.2510877946505,2.56541571660712,2.573336561053076,95.3
1.4171999890026215,1.7902171745419486,2.250505189720018,2.5652311086078265,2.5734340497148267,95.2
1.4149101109983855,1.790670270520793,2.2499337403662496,2.565414896774907,2.5732629255054134,95.6
1.4071275591228147,1.7892694390898622,2.249086174520498,2.5654167526487917,2.573297676124593,95.6
1.407253012300007,1.78689757852319,2.2482661039029557,2.565335103066865,2.573662182616137,95.5
1.405416576780015,1.7883217474038675,2.2477198357099955,2.565691065105718,2.5733536469470004,93.4
1.4158576456415677,1.7925680603004808,2.2490871202888307,2.565564419367067,2.573218512680305,92.5
1.4154516446508367,1.7958553593281406,2.248800300831534,2.565581064806793,2.573148037313673,92.4
1.4312923201397298,1.7986822345992755,2.2491378637168236,2.5658026899301842,2.5730718023265116,92.4
1.4292996612578517,1.7981817336359063,2.2485717106928114,2.5654576149827215,2.573221724570035,95.5
1.4321647132185966,1.8000592827937223,2.2499653737043825,2.56594870056557,2.5733027489338696,97.0
